Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
20/02/2024 18:12:50;;77,9;0;91,2;35;68,2;;;;;
20/02/2024 18:13:00;;77,4;0;90,9;35;67,8;;;;;
20/02/2024 18:13:10;;77;0;90,6;35;67,5;;;;;
20/02/2024 18:13:20;;76,5;0;90,5;35;67,1;;;;;
20/02/2024 18:13:30;;75,9;0;90;35;66,7;;;;;
20/02/2024 18:13:40;;75,6;0;89,7;35;66,3;;;;;
20/02/2024 18:13:50;;75,1;0;89,2;35;66;;;;;
20/02/2024 18:14:00;;74,6;0;88,8;35;65,7;;;;;
20/02/2024 18:14:10;;74,3;0;88,6;35;65,4;;;;;
20/02/2024 18:14:20;;73,9;0;88,3;35;65;;;;;
20/02/2024 18:14:30;;73,5;0;88,1;35;64,8;;;;;
20/02/2024 18:14:40;;73,1;0;87,7;35;64,5;;;;;
20/02/2024 18:14:50;;72,7;0;87,4;35;64,2;;;;;
20/02/2024 18:15:00;;72,4;0;87;35;63,9;;;;;
20/02/2024 18:15:10;;72;0;86,8;35;63,6;;;;;
20/02/2024 18:15:20;;71,7;0;86,5;35;63,4;;;;;
20/02/2024 18:15:30;;71,3;0;86,2;35;63;;;;;
20/02/2024 18:15:40;;71,1;0;85,9;35;62,8;;;;;
20/02/2024 18:15:50;;70,7;0;85,7;35;62,6;;;;;
20/02/2024 18:16:00;;70,5;0;85,4;35;62,3;;;;;
20/02/2024 18:16:10;;70,3;0;85,1;35;62,1;;;;;
20/02/2024 18:16:20;;70;0;85;35;61,9;;;;;
20/02/2024 18:16:30;;69,8;0;84,8;35;61,6;;;;;
20/02/2024 18:16:40;;69,5;0;84,6;35;61,5;;;;;
20/02/2024 18:16:50;;69,4;0;84,2;35;61,3;;;;;
20/02/2024 18:17:00;;69;0;84;35;61,1;;;;;
20/02/2024 18:17:10;;68,8;0;83,7;35;60,8;;;;;
20/02/2024 18:17:20;;68,5;0;83,4;35;60,6;;;;;
20/02/2024 18:17:30;;68,4;0;83,1;35;60,4;;;;;
20/02/2024 18:17:40;;68,4;0;82,7;35;60,2;;;;;
20/02/2024 18:17:50;;68,2;0;82,5;35;60,1;;;;;
20/02/2024 18:18:00;;68;0;82,3;35;59,8;;;;;
20/02/2024 18:18:10;;67,7;0;82,1;35;59,6;;;;;
20/02/2024 18:18:20;;67,5;0;81,9;35;59,4;;;;;
20/02/2024 18:18:30;;67,2;0;81,6;35;59,1;;;;;
20/02/2024 18:18:40;;66,9;0;81,3;35;59;;;;;
20/02/2024 18:18:50;;66,8;0;81,1;35;58,7;;;;;
20/02/2024 18:19:00;;66,6;0;80,9;35;58,5;;;;;
20/02/2024 18:19:10;;66,2;0;80,7;35;58,3;;;;;
20/02/2024 18:19:20;;65,9;0;80,4;35;58,1;;;;;
20/02/2024 18:19:30;;65,8;0;80,2;35;57,9;;;;;
20/02/2024 18:19:40;;65,7;0;80;35;57,8;;;;;
20/02/2024 18:19:50;;65,5;0;79,8;35;57,6;;;;;
20/02/2024 18:20:00;;65,4;0;79,6;35;57,5;;;;;
20/02/2024 18:20:10;;65,1;0;79,3;35;57,2;;;;;
20/02/2024 18:20:20;;64,9;0;79;35;57;;;;;
20/02/2024 18:20:30;;64,6;0;78,7;35;56,9;;;;;
20/02/2024 18:20:40;;64,4;0;78,5;35;56,8;;;;;
20/02/2024 18:20:50;;64,2;0;78,2;35;56,7;;;;;
20/02/2024 18:21:00;;64,1;0;77,8;35;56,5;;;;;
20/02/2024 18:21:10;;63,9;0;77,5;35;56,4;;;;;
20/02/2024 18:21:20;;63,8;0;77,3;35;56,2;;;;;
20/02/2024 18:21:30;;63,7;0;77,1;35;56,1;;;;;
20/02/2024 18:21:40;;63,4;0;76,9;35;55,8;;;;;
20/02/2024 18:21:50;;63,3;0;76,7;35;55,6;;;;;
20/02/2024 18:22:00;;63;0;76,4;35;55,4;;;;;
20/02/2024 18:22:10;;62,9;0;76,1;35;55,2;;;;;
20/02/2024 18:22:20;;62,6;0;75,9;35;55,1;;;;;
20/02/2024 18:22:30;;62,5;0;75,7;35;55;;;;;
20/02/2024 18:22:40;;62,3;0;75,5;35;54,8;;;;;
20/02/2024 18:22:50;;62,2;0;75,3;35;54,7;;;;;
20/02/2024 18:23:00;;62,1;0;75,2;35;54,6;;;;;
20/02/2024 18:23:10;;62;0;74,9;35;54,5;;;;;
20/02/2024 18:23:20;;62;0;74,7;35;54,3;;;;;
20/02/2024 18:23:30;;61,8;0;74,5;35;54,3;;;;;
20/02/2024 18:23:40;;61,8;0;74,3;35;54,2;;;;;
20/02/2024 18:23:50;;61,8;0;74,1;35;54,1;;;;;
20/02/2024 18:24:00;;61,6;0;73,9;35;54;;;;;
20/02/2024 18:24:10;;61,6;0;73,6;35;53,9;;;;;
20/02/2024 18:24:20;;61,4;0;73,6;35;53,9;;;;;
20/02/2024 18:24:30;;61,2;0;73,5;35;53,8;;;;;
20/02/2024 18:24:40;;61;0;73,3;35;53,7;;;;;
20/02/2024 18:24:50;;61;0;73,1;35;53,6;;;;;
20/02/2024 18:25:00;;60,9;0;73;35;53,5;;;;;
20/02/2024 18:25:10;;60,7;0;72,8;35;53,3;;;;;
20/02/2024 18:25:20;;60,6;0;72,6;35;53,2;;;;;
20/02/2024 18:25:30;;60,5;0;72,5;35;53,1;;;;;
